material_number,region,fiscal_month_id,PCF_amt,PCF_units
0021036003,EMEA,2024M6,4161.943429,54226.31632
0021036003,AMER,2024M6,616.599708,7835.708158
0021036015,EMEA,2024M6,128.119005,4545.0
0021036034,EMEA,2024M6,272.208635,6678.0
0081930005,EMEA,2024M6,17459.38092,400906.0
0146662002,AMER,2024M6,180.734708,81.12
0209-001-0000,EMEA,2024M6,58292.3817,10771.549
0209-001-0000,AMER,2024M6,124898.2563,19365.632
0209-002-0000,AMER,2024M6,11669.7595,14500.0
0213-001-0006,AMER,2024M6,0.0,0.0
0276653001,EMEA,2024M6,423.532586,1391.615423
0285863001,AMER,2024M6,0.0,930.84268
0311063001,EMEA,2024M6,543.19217,1363.0
0337284001,EMEA,2024M6,0.0,0.0
035377P006,AMER,2024M6,122.500836,756.08
0395-9990,AMER,2024M6,0.0,0.0
040488-000,EMEA,2024M6,263.919446,37.0
0409-201-1800,APAC,2024M6,3851.656295,891.0
0409-201-1800,APAC,2024M6,907.369103,260.152681
0409-201-1800,EMEA,2024M6,9321.721474,1972.302191
0409-201-1800,AMER,2024M6,10344.16939,2477.432053
0409-201-2400,APAC,2024M6,1646.488009,360.0
0409-201-2400,APAC,2024M6,755.586331,173.426578
0409-201-2400,EMEA,2024M6,6543.480739,1242.0
0409-201-2400,AMER,2024M6,20353.39953,3953.4
0410-241-0406,APAC,2024M6,175.02012,360.0
0410-241-0406,AMER,2024M6,5921.359127,11253.0
0410-241-0406,AMER,2024M6,7.967237,15.466313
0413-003-1605,APAC,2024M6,1206.390766,10800.0
0413-003-1605,EMEA,2024M6,1722.205674,24693.0
0413-003-1605,AMER,2024M6,1774.541704,40755.95815
0413-003-1605,AMER,2024M6,233.823098,3341.640199
0413-204-2005,APAC,2024M6,29657.56153,1132251.96
0413-204-2005,APAC,2024M6,908.966848,39615.38461
0413-204-2005,EMEA,2024M6,61141.62509,1721342.876
0413-204-2005,AMER,2024M6,91286.8298,3443599.007
0413-204-2005,AMER,2024M6,11144.67036,301489.0
0413-214-1205,EMEA,2024M6,37.22772,62.0
0413-214-1205,AMER,2024M6,683.888968,1728.0
0413-215-1605,APAC,2024M6,3.642228,11.979709
0413-215-1605,EMEA,2024M6,523.5709,1254.0
0413-215-1605,AMER,2024M6,2284.099094,8216.0
0413-216-2005,APAC,2024M6,489.999997,1000.0
0413-216-2005,EMEA,2024M6,91.146498,250.0
0413-216-2005,AMER,2024M6,547.742075,2387.0
0413-217-1605,APAC,2024M6,10380.33484,57158.51589
0413-217-1605,EMEA,2024M6,20803.99751,126195.8632
0413-217-1605,AMER,2024M6,56571.89032,452071.9
0413-217-1605,AMER,2024M6,4574.558245,21831.68
0418834001,EMEA,2024M6,198.565213,727.48368
0421-203-04141,APAC,2024M6,959.308309,2941.530045
0421-203-04141,EMEA,2024M6,0.0,0.0
0421-203-04141,AMER,2024M6,4027.34286,9338.0
0421-203-04141,AMER,2024M6,9.636523,22.947338
0426-205-0000,AMER,2024M6,17.1,45.0
0426-206-0000,AMER,2024M6,0.9,5.0
0428-204-1890,APAC,2024M6,399.720729,151.964614
0428-204-1890,EMEA,2024M6,3010.24763,1421.928264
0428-204-1890,AMER,2024M6,61.151239,22.999994
0428-204-2490,APAC,2024M6,554.260784,196.175384
0428-204-2490,EMEA,2024M6,2788.944343,1039.545442
0428-204-2490,AMER,2024M6,0.0,0.0
0428-205-1890,EMEA,2024M6,800.532414,384.0
0428-205-2490,EMEA,2024M6,312.664948,150.0
0428-205-2490,AMER,2024M6,74.9496,34.0
0428-205-2490-F,AMER,2024M6,58.625232,15.0
043885-000,AMER,2024M6,104.294115,4545.0
0460-002-1631,AMER,2024M6,115.401822,133.0
0460-010-20141,APAC,2024M6,0.0,0.0
0460-010-20141,APAC,2024M6,2460.915517,2666.855429
0460-010-20141,EMEA,2024M6,13740.56592,34642.74231
0460-010-20141,AMER,2024M6,58389.90901,148139.725
0460-010-20141,AMER,2024M6,36.18188,112.893043
0460-010-2031,EMEA,2024M6,4772.268004,4027.904964
0460-010-2031,AMER,2024M6,20057.24177,29633.67529
0460-202-16141,APAC,2024M6,54860.41967,435659.6154
0460-202-16141,APAC,2024M6,18431.49672,120755.9231
0460-202-16141,EMEA,2024M6,142957.4349,922998.9318
0460-202-16141,AMER,2024M6,361881.9492,3004146.0
0460-202-16141,AMER,2024M6,4059.870972,19904.71518
0460-202-1631,APAC,2024M6,18451.9616,77905.0
0460-202-1631,APAC,2024M6,8944.818977,31175.6326
0460-202-1631,EMEA,2024M6,59731.87791,172636.4229
0460-202-1631,AMER,2024M6,184533.2671,879076.0
0460-202-1631,AMER,2024M6,4073.292641,16744.0
0460-202-20141,APAC,2024M6,10863.20123,82625.0
0460-202-20141,APAC,2024M6,9416.28503,89564.60356
0460-202-20141,EMEA,2024M6,29758.28345,225857.6002
0460-202-20141,AMER,2024M6,34968.96011,220756.4805
0460-202-20141,AMER,2024M6,568.219501,1603.844075
0460-202-2031,APAC,2024M6,0.0,0.0
0460-202-2031,APAC,2024M6,3220.971678,16297.44985
0460-202-2031,EMEA,2024M6,13409.0328,43672.4114
0460-202-2031,AMER,2024M6,26965.94585,85716.0
0460-204-0490,APAC,2024M6,12050.84659,6843.2948
0460-204-0490,APAC,2024M6,3663.27534,2060.0
0460-204-0490,EMEA,2024M6,20555.44362,8749.170639
0460-204-0490,AMER,2024M6,47052.27712,29555.0
0460-204-0490,AMER,2024M6,2337.575739,803.229715
0460-204-08141,APAC,2024M6,35391.9934,30210.59314
0460-204-08141,APAC,2024M6,907.971083,868.415605
0460-204-08141,EMEA,2024M6,17153.10143,13735.11172
0460-204-08141,AMER,2024M6,58841.08938,61090.17805
0460-204-08141,AMER,2024M6,4129.772863,2205.601333
0460-204-12141,APAC,2024M6,16922.5820999999,90754.49452
0460-204-12141,APAC,2024M6,10320.47357,63735.82412
0460-204-12141,EMEA,2024M6,14135.40281,51904.99846
0460-204-12141,AMER,2024M6,65072.8569,280773.5913
0460-204-12141,AMER,2024M6,397.598937,1607.442165
0460-208-12141,AMER,2024M6,827.720051,1273.126657
0460-208-16141,AMER,2024M6,1553.074335,3925.0
0460-208-1631,AMER,2024M6,0.0,103.7875
0460-208-2031,AMER,2024M6,0.0,0.0
0460-208-2090,AMER,2024M6,992.538605,1922.0
0460-215-16141,APAC,2024M6,3832.970816,27498.631
0460-215-16141,APAC,2024M6,50751.09949,355384.6154
0460-215-16141,EMEA,2024M6,55406.64858,288612.7044
0460-215-16141,AMER,2024M6,104827.042,628616.7396
0460-215-16141,AMER,2024M6,1648.475605,6500.0
0460-215-1631,APAC,2024M6,700.510697,1980.0
0460-215-1631,APAC,2024M6,14211.61167,43222.26888
0460-215-1631,EMEA,2024M6,4890.197519,8487.578023
0460-215-1631,AMER,2024M6,46772.20805,143586.1151
0460-220-1231,APAC,2024M6,55.878913,65.957176
0460-220-1231,EMEA,2024M6,1789.431788,2929.070936
0460-220-1231,AMER,2024M6,6800.173052,12264.0
