description,gpl_group,target_date,target_weekly_units
New design for station 25 cover placement,AMPSEAL Connectors,2023-03-06,5000
Re-solder at wire connections,AMPSEAL Connectors,2023-03-06,5000
"Engineering led action team + 7,500pcs/wk",AMPSEAL Headers,2023-03-06,7500
"Full PM of seal application system +10,000 pcs/wk",AMPSEAL Headers,2023-03-06,10000
Component Constraint Mold Short,AMPSEAL Headers,2023-03-06,10000
OEE Improvement New Machine Ramp,AMPSEAL Headers,2023-03-06,10000
China Line,AMPSEAL Headers,2023-03-06,30000
Increase OEE 85%,AS16 2-3Plug,2023-03-06,40000
Capacity Improvements - (unspecified),AS16 2-3Plug,2023-05-01,92610
EMP Molding Improvements - Pt 1,AS16 4-12Plug,2023-04-03,150000
EMP Molding Improvements - Pt 2,AS16 4-12Plug,2023-05-01,150000
EMP Molding Improvements - Pt 1,AS16 CAP,2023-04-03,35000
EMP Molding Improvements - Pt 2,AS16 CAP,2023-05-01,35000
Increase shift C/D (H103/H104),Cable Assemblies,2023-03-06,3814
Add 3rd ruther (H103),Cable Assemblies,2023-03-06,1386
Molding Cycle Time Reduction,DRC,2023-03-06,6000
Tecate Outsource,DT 12,2023-03-06,100000
Mondragon Lines (3),DT 2,2023-03-06,486000
Harmontronics Line,DT 2,2023-03-06,290000
Harmontronics Line,DT 3,2023-03-06,290000
Tecate Outsource,DT 4,2023-03-06,50000
Running to Demand,DT 6,2023-03-06,0
Tecate Outsource,DT 8,2023-03-06,0
Flexible Manual Lines,DTM,2023-03-06,77000
Engel Recovery Plan-Ops/SC/Maint +18k/wk - RAMP 1,Engels,2023-04-03,4500
Engel Recovery Plan-Ops/SC/Maint +18k/wk - RAMP 2,Engels,2023-05-01,4500
Engel Recovery Plan-Ops/SC/Maint +18k/wk - RAMP 3,Engels,2023-06-05,4500
Engel Recovery Plan-Ops/SC/Maint +18k/wk - RAMP 4,Engels,2023-07-03,4500
"Tecate subcontracting +24,685/wk - RAMP 1",Engels,2023-04-03,6171.25
"Tecate subcontracting +24,685/wk - RAMP 2",Engels,2023-05-01,6171.25
"Tecate subcontracting +24,685/wk - RAMP 3",Engels,2023-06-05,6171.25
"Tecate subcontracting +24,685/wk - RAMP 4",Engels,2023-07-03,6171.25
New Assembly Line,HD10,2023-03-06,69000
OEE Improvements,HD30,2023-03-06,7000
EMP Molding Improvements - Pt 1,HDE Volvo,2023-04-03,4000
EMP Molding Improvements - Pt 2,HDE Volvo,2023-05-01,4000
Plug CTB lower than target +15k/wk,HDP,2023-03-06,15000
Rec CTB lower than target +15k/wk,HDP,2023-03-06,15000
Running to Demand,HDSCS Rec A,2023-03-06,100000
Manual assembly ICT Morocco * 2 lines,HDSCS Rec B,2023-03-06,100000
Manual assembly ICT Morocco * 1 line,HDSCS Rec CDE,2023-03-06,50000
