snapshot_date,material_number,region,past_due_amt,past_due_qty
2023-03-27,21036034,EMEA,203.81,5000
2023-03-27,52163001,EMEA,1321.19,6000
2023-03-27,0209-001-0000,EMEA,3025.26,560
2023-03-27,0209-002-0000,AMER,1509.02,1500
2023-03-27,0213-001-0006,AMER,948.12,2000
2023-03-27,311063001,EMEA,1258.56,3000
2023-03-27,0409-201-2400,APAC,2772.13,619
2023-03-27,0410-241-0406,APAC,44.49,200
2023-03-27,0410-241-0406,AMER,105.72,200
2023-03-27,0413-003-1605,AMER,17.36,100
2023-03-27,0413-204-2005,APAC,223.6,10000
2023-03-27,0413-204-2005,APAC,8828.25,232300
2023-03-27,0413-204-2005,EMEA,916.99,21000
2023-03-27,0413-204-2005,AMER,348.91,8745
2023-03-27,0413-217-1605,AMER,973.75,5000
2023-03-27,418834001,EMEA,145.48,600
2023-03-27,0421-203-04141,APAC,1304.48,4000
2023-03-27,0460-010-20141,AMER,8.77,11
2023-03-27,0460-010-2031,AMER,207.46,100
2023-03-27,0460-202-16141,APAC,5596.74,37260
2023-03-27,0460-202-16141,EMEA,123.41,350
2023-03-27,0460-202-16141,AMER,23011.69,164168
2023-03-27,0460-202-1631,EMEA,19844.2,57540
2023-03-27,0460-202-1631,AMER,37287.2,202613
2023-03-27,0460-202-20141,AMER,463.63,2020
2023-03-27,0460-202-2031,APAC,26.86,50
2023-03-27,0460-202-2031,EMEA,58.17,200
2023-03-27,0460-202-2031,AMER,93.45,100
2023-03-27,0460-204-0490,APAC,12320.77,5547
2023-03-27,0460-204-0490,AMER,404.11,160
2023-03-27,0460-204-08141,APAC,6973.71,4846
2023-03-27,0460-204-08141,AMER,180.01,135
2023-03-27,0460-204-12141,APAC,5523.87,27778
2023-03-27,0460-204-12141,EMEA,323.38,1000
2023-03-27,0460-204-12141,EMEA,1889.26,5000
2023-03-27,0460-204-12141,AMER,752.8,2555
2023-03-27,0460-208-16141,EMEA,66.28,100
2023-03-27,0460-208-16141,AMER,11086.48,25620
2023-03-27,0460-215-16141,APAC,409.03,2000
2023-03-27,0460-215-16141,EMEA,153.64,1000
2023-03-27,0460-215-16141,EMEA,1029.21,9630
2023-03-27,0460-215-16141,EMEA,2655.74,10000
2023-03-27,0460-215-16141,AMER,1318.99,4099
2023-03-27,0460-247-1631,AMER,69.34,52
2023-03-27,0460-256-12233,AMER,47.3,25
2023-03-27,0462-005-20141,AMER,281.14,200
2023-03-27,0462-005-20309,AMER,39.74,25
2023-03-27,0462-005-2031,AMER,1307.61,550
