material_number,fiscal_month,pcf_amt,pcf_units
0209-001-0000,2023M6,201117,34772
0504-001-4001,2023M6,1632,406
0504-002-4001,2023M6,1401,384
0504-005-3801,2023M6,2146,1000
0942318R02,2023M6,21572,6621
1-1418390-1,2023M6,305547,661650
1-1418437-1,2023M6,3549,4262
1-1418448-1,2023M6,199927,466394
1-1418448-2,2023M6,117914,304854
1-1418469-1,2023M6,99593,195610
1-1418479-1,2023M6,197041,349234
1-1418480-1,2023M6,119700,219508
1-1418483-1,2023M6,198102,470871
1-1418883-1,2023M6,592508,149037
1-1563759-1,2023M6,239071,229775
1-1563878-1,2023M6,37898,38108
1-1564297-6,2023M6,177326,37156
1-1564330-1,2023M6,63302,63585
1-1564337-1,2023M6,161109,169515
1-1564407-1,2023M6,212422,148734
1-1564412-1,2023M6,40273,35305
1-1564414-1,2023M6,50367,49764
1-1564416-1,2023M6,103249,108987
1-1564512-1,2023M6,32242,46426
1-1564514-1,2023M6,63225,70338
1-1564518-1,2023M6,73510,53631
1-1564520-1,2023M6,175944,132586
1-1564522-1,2023M6,15498,12892
1-1564526-1,2023M6,230415,135892
1-1564528-1,2023M6,21816,18820
1-1564530-1,2023M6,28599,24836
1-1564534-1,2023M6,7660,6478
1-1564536-1,2023M6,13459,9371
1-1564542-1,2023M6,202262,363685
1-1564544-1,2023M6,106809,165363
1-1564546-1,2023M6,25222,27340
1-1670214-1,2023M6,28902,36977
1-1670730-1,2023M6,43636,89386
1-1670894-1,2023M6,28852,25785
1-1670901-1,2023M6,7951,6366
1-1703639-1,2023M6,300055,312457
1-1703648-1,2023M6,12408,18386
1-1703773-1,2023M6,51006,93837
1-1703808-1,2023M6,40780,60772
1-1703818-1,2023M6,57869,110897
1-1703820-1,2023M6,32701,44371
1-1703839-1,2023M6,18061,18639
1-1703841-1,2023M6,39770,57497
1-1703843-1,2023M6,69321,103263
1-1718324-1,2023M6,293736,94377
1-1718484-1,2023M6,103648,163044
1-1718484-2,2023M6,159171,214943
1-1718484-3,2023M6,17173,23842
1-1718484-4,2023M6,8289,11214
1-1718485-1,2023M6,57703,102658
1-1718485-2,2023M6,24463,49256
1-1718485-3,2023M6,13204,23665
1-1718485-4,2023M6,13259,15937
1-1718485-5,2023M6,2361,3600
1-1718485-6,2023M6,9880,13154
1-1823498-1,2023M6,1551,213
1-2112041-1,2023M6,136291,48483
1-2112041-2,2023M6,50879,20187
1-2112699-1,2023M6,12779,727
1-2112700-1,2023M6,4577,320
1-2141481-1,2023M6,0,0
1-2141738-1,2023M6,0,0
1-2141738-2,2023M6,0,0
1-2141846-1,2023M6,59206,110962
1-2141846-2,2023M6,18763,35750
1-2141846-3,2023M6,1241,2475
1-2141846-4,2023M6,129,81
1-2141847-1,2023M6,25491,37107
1-2141847-2,2023M6,26420,37859
1-2141847-3,2023M6,6452,9603
1-2177566-1,2023M6,0,0
1-2177566-2,2023M6,351,20
1-2208157-1,2023M6,15436,5130
1-2208685-6,2023M6,7767,1525
1-2272733-1,2023M6,56274,9499
1-2272733-2,2023M6,96170,12995
1-2272733-4,2023M6,31437,7013
1-2272733-5,2023M6,0,0
1-2272733-6,2023M6,6971,872
1-2293551-1,2023M6,14779,3286
1-2299782-1,2023M6,17981,20580
1-2299782-2,2023M6,11552,6311
1-2303815-3,2023M6,0,0
1-2303815-4,2023M6,9198,26688
1-2303816-4,2023M6,17,22
1-2318696-1,2023M6,45528,12081
1-2322907-1,2023M6,744,336
1-770669-1,2023M6,626,80
1-776087-1,2023M6,115478,24796
1-776087-4,2023M6,33248,6600
1-776087-5,2023M6,0,0
1-776163-1,2023M6,102263,22861
1-776163-2,2023M6,44776,6749
1-776163-4,2023M6,35500,5089
1-776163-5,2023M6,47865,8383
1-776163-6,2023M6,0,0
1-776180-1,2023M6,37748,6400
1-776180-2,2023M6,285,42
1-776180-5,2023M6,1087,160
1-776200-1,2023M6,13678,4559
1-776200-2,2023M6,0,0
1-776200-4,2023M6,11134,4115
1-776200-5,2023M6,7952,2939
1-776228-1,2023M6,43408,11040
1-776228-4,2023M6,22700,5219
1-776228-5,2023M6,414,63
1-776230-1,2023M6,19328,3148
1-776230-2,2023M6,26909,4492
1-776230-4,2023M6,17742,3000
1-776231-1,2023M6,150775,22366
1-776231-2,2023M6,91000,12454
1-776231-4,2023M6,25386,3817
1-776231-5,2023M6,40961,5439
1-776231-6,2023M6,1424,160
1-776261-1,2023M6,5169,1272
1-776261-2,2023M6,718,200
1-776262-1,2023M6,10288,3245
1-776262-2,2023M6,7674,2160
1-776266-1,2023M6,3581,1375
1-776267-1,2023M6,37635,12262
1-776267-5,2023M6,1505,634
1-776275-1,2023M6,16510,6730
1-776275-2,2023M6,370,106
1-776276-1,2023M6,22617,7081
1-776276-2,2023M6,5511,1420
1-776279-1,2023M6,0,1411
1-776280-1,2023M6,14421,4102
1060-12-0144,2023M6,2446,9169
1060-12-0166,2023M6,117021,1130804
1060-12-0222,2023M6,30317,214572
1060-14-0122,2023M6,95201,1698523
1060-14-0144,2023M6,4048,25082
1060-16-0122,2023M6,676348,13310749
1060-16-0144,2023M6,161883,1255676
1060-16-0622,2023M6,423741,6921579
1060-16-0722,2023M6,7619,143298
1060-16-0988,2023M6,136893,1012994
1060-16-1222,2023M6,34671,484143
1060-20-0122,2023M6,157581,3376009
1060-20-0144,2023M6,112968,761116
1060-20-0222,2023M6,125313,2445162
1060-20-0244,2023M6,53144,342811
1060-20-0622,2023M6,366,4175
1062-12-0166,2023M6,217308,1412229
1062-12-0222,2023M6,62061,383259
1062-14-0122,2023M6,291229,3578694
1062-16-0122,2023M6,1515933,19868046
1062-16-0144,2023M6,202309,1249215
1062-16-0622,2023M6,695322,7986955
1062-16-0644,2023M6,319371,1385426
1062-16-0688,2023M6,36409,199133
1062-16-0722,2023M6,3673,40268
1062-16-0988,2023M6,247663,1638646
1062-16-1222,2023M6,70383,595069
1062-20-0122,2023M6,578861,8279680
1062-20-0222,2023M6,110580,1560846
1062-20-0244,2023M6,120651,577288
1062-20-0377,2023M6,37977,894659
1326396-1,2023M6,65756,6208
1326442-2,2023M6,46376,3111
1326912-2,2023M6,36077,2320
1376886-1,2023M6,49834,12640
1437228-6,2023M6,143877,2345791
1443955-4,2023M6,23552,749
1456551-4,2023M6,20478,1499
1456820-1,2023M6,4156,4242
1456822-1,2023M6,1097,856
1456822-2,2023M6,2358,1841
1456822-3,2023M6,98,76
1456822-4,2023M6,1524,1122
1473416-1,2023M6,160058,55627
1473416-2,2023M6,30151,10726
1732410-3,2023M6,1968,60
1732415-3,2023M6,73822,2593
