material_number,region,shipped_amt,shipped_qty
21036003,AMER,236.07,3000
21036003,EMEA,2505.81,30000
21036015,EMEA,281.89,10000
81930003,EMEA,2.62,26
0209-001-0000,AMER,55207.56,8560
0209-001-0000,EMEA,91115.06,17920
0209-002-0000,AMER,32695.39,36000
031307-000,EMEA,193.44,50
0395-9990,AMER,1613.17,5
040488-000,EMEA,356.65,50
0409-201-1800,AMER,30382.95,7605
0409-201-1800,APAC,3425.59,908
0409-201-1800,EMEA,4437.79,890
0409-201-2400,AMER,9201.34,1725
0409-201-2400,APAC,7022.29,1621
0409-201-2400,EMEA,7511.84,1483
0410-241-0406,AMER,2271.75,4965
0410-241-0406,APAC,111.21,500
0413-003-1605,AMER,4953.34,66107
0413-003-1605,APAC,2559.26,8800
0413-003-1605,EMEA,14459.89,167930
0413-204-2005,AMER,132621.28,4526354
0413-204-2005,APAC,52714.66,1942782
0413-204-2005,EMEA,52200.39,1621170
0413-214-1205,AMER,45.63,75
0413-215-1605,AMER,13628.99,47077
0413-215-1605,EMEA,747.71,1825
0413-216-2005,AMER,726.95,2516
0413-217-1605,AMER,91963.16,516800
0413-217-1605,APAC,8338.75,46052
0413-217-1605,EMEA,27423.39,165401
418834001,EMEA,145.48,600
0421-203-04141,AMER,5523.87,13264
0421-203-04141,EMEA,352.85,590
0428-204-1890,EMEA,2772.33,1420
0428-204-2490,EMEA,8045.89,3145
0428-205-1890,EMEA,2398.29,1250
0428-205-2490,AMER,220.44,100
0460-010-20141,AMER,46787.18,149605
0460-010-20141,EMEA,8912.18,26934
0460-010-2031,AMER,18125.59,21915
0460-010-2031,APAC,716.19,500
0460-010-2031,EMEA,4276.81,3215
0460-202-16141,AMER,304765.75,2810047
0460-202-16141,APAC,63595.38,453238
0460-202-16141,EMEA,187938.60,1266672
0460-202-1631,AMER,317996.71,1344622
0460-202-1631,APAC,8910.95,35200
0460-202-1631,EMEA,82354.27,234361
0460-202-20141,AMER,28485.31,173591
0460-202-20141,APAC,7259.99,57419
0460-202-20141,EMEA,21592.56,160270
0460-202-2031,AMER,20215.15,72493
0460-202-2031,EMEA,15150.20,43393
0460-204-0490,AMER,57327.09,33675
0460-204-0490,APAC,3443.20,1950
0460-204-0490,EMEA,6728.54,2570
0460-204-08141,AMER,92036.76,92136
0460-204-08141,APAC,11480.01,9680
0460-204-08141,EMEA,21514.33,19820
0460-204-12141,AMER,52049.51,232026
0460-204-12141,APAC,6934.34,39605
