gpl_group,capacity_type,theoretical_units
All Others,demonstrated,0
AMPSEAL Connectors,theoretical,295956
AMPSEAL Headers,demonstrated,292353
AS16 2-3Plug,demonstrated,0
AS16 4-12Plug,demonstrated,0
AS16 CAP,demonstrated,0
Cable Assemblies,demonstrated,5000
DRC,demonstrated,43530
DT 12,theoretical,353571
DT 2,demonstrated,2746714
DT 3,demonstrated,965131
DT 4,theoretical,660714
DT 6,theoretical,541429
DT 8,theoretical,298862
DTM,demonstrated,5482143
Engels,demonstrated,186500
HD30,demonstrated,82368
HDE Volvo,demonstrated,5924
HDP,demonstrated,265573
HDSCS Rec A,theoretical,557143
HDSCS Rec B,demonstrated,364000
HDSCS Rec CDE,demonstrated,705714
HDSCS Tab A,demonstrated,126286
HDSCS Tab BCDE,demonstrated,624000
Kissling Inductive Switches,demonstrated,160
Kissling Limit Switches,demonstrated,769
Kissling PDUs,demonstrated,0
Kissling Relays,demonstrated,4385
Leavyseal,demonstrated,61026
Leavyseal Ass 26POS REC,demonstrated,16701
Leavyseal Rec 31-39-62pos,demonstrated,123413
Rivian,demonstrated,5900
S&F Pins - Size 12,theoretical,344488
S&F Pins - Size 14/16 ,theoretical,13000000
S&F Pins - Size 20,theoretical,2500000
S&F Sockets - Size 12 ,theoretical,549120
S&F Sockets - Size 14/16 ,theoretical,13324000
S&F Sockets - Size 20 ,theoretical,4081600
Superseal 1.0 Headers,demonstrated,58264
Superseal 1.0 Stamped Contact,demonstrated,1900000
Superseal Plugs 34&26P,demonstrated,142000
Superseal Plugs 44P,demonstrated,15000
Unsealed Connectors K-239,demonstrated,200571
Unsealed Headers,demonstrated,127771
USCAR,demonstrated,0
Wabco Ford & FAST,demonstrated,2387
WABCO VOLVO,demonstrated,5659
